code;name;id;registry_title;registry_title;email;phone;id2;url;pi_title;city;registry_sub_title;registry_name;id2;adress;zip_code;id3;country_code;continent;country_u;country
ALCOL10;Colombia;V;174;National Cancer Institute of Colombia;cpardo@cancer.gov.co;(571) 3341111;NULL;https://cancer.gov.co/;NULL;Bogota;Vigilancia Epidemiológica del Cáncer;NULL;NULL;NULL;Calle 1a., No. 9-85, Apt. Aereo 17158;NULL;NULL;America Latin;COLOMBIA;Colombia
ALCOLANT;Antioquia;V;175;Cancer Registry of Antioquia;cronicas.dssa@antioquia.gov.co;+57 4 385 9613;NULL;NULL;registrodecancer@epm.net.co did not work (SA 24/05/2016);Medellín;Dirección Seccional de Salud de Antioquia;Centro Administrativo Departamental La Alpujarra, Piso 8;NULL;NULL;Calle 42B #52-106;NULL;NULL;America Latin;COLOMBIA;Colombia
ALCOLBUC;Bucaramanga;V;177;Cancer Registry of the Metropolitan Area of Bucaramanga;cancerbmanga@unab.edu.co;+57 76436111 ext 515;;http://www.unab.edu.co/content/registro-poblacional-de-cancer-area-metropolitana-de-bucaramanga;NULL;Bucaramanga;Centro de Investigación en Ciencias de la Salud y Psicosociales CICSP;Universidad Autónoma de Bucaramanga;Facultad de Ciencias de la Salud, Programa de Medicina;;Calle 157, Nº 19-55 Cañaveral Parque;;68001;America Latin;COLOMBIA;Colombia
ALCOLCAL;Cali;V;178;Cali Cancer Registry;registro.cancercali@correounivalle.edu.co;+57 25 18 56 23;+57 25 18 56 23;http://rpcc.univalle.edu.co;NULL;Cali;Department of Pathology;Universidad del Valle - Sede San Fernando;Faculty of Health Sciences;P.O. Box 25360;Calle 4B 36-00 Edificio 116 Oficina 4003;NULL;NULL;America Latin;COLOMBIA;Colombia
ALCOLMAN;Manizales;V;179;Population-based Cancer Registry of Manizales;nelson.arias@ucaldas.edu.co;5,73E+11;+57(6)8783060 Ext 31255;;NULL;Manizales;Instituto de Investigaciones en Salud;Universidad de Caldas;Facultad de Ciencias para la Salud;;Carrera 25 No 48-57;;17001000;America Latin;COLOMBIA;Colombia
ALCOLPAS;Pasto;V;180;Cancer Registry of Pasto;cesun@udenar.edu.co;+57 27 31 22 83;+57 27 31 22 83;http://rpcmp.udenar.edu.co/;NULL;Pasto;Centro de Estudios en Salud;Universidad de Nariño;NULL;NULL;Ciudad Universitaria Torobajo;Clle 18 Cr 50;520001;America Latin;COLOMBIA;Colombia
ALCOS10;Costa Rica;V;182;Costa Rica National Tumor Registry;;(506) 22216158;(506) 22335061;https://www.ministeriodesalud.go.cr;NULL;San José;Dirección Vigilancia de la Salud;Ministerio de Salud;;P.O. Box 10123-1000;st.16, av. 6-8;;;America Latin;COSTA_RICA;Costa Rica
ALCUB10;Cuba;V;183;Cuba National Cancer Registry;rncinor@infomed.sld.cu;+53 78 38 39 70;;http://www.rnc.sld.cu/;NULL;Havana;Registro Nacional de Cáncer;Calle 29 esquina con F, Vedado;Dirección de Registros Médicos y Estadística;;;;;America Latin;;
ALCUR10;Curacao;V;198;Cancer Registry of Curacao;corocar@hotmail.com;+599 98 64 87 35;;;REMOVE cordak@interneeds.net - Heelsumstraat 55 (address removed);Willemstad;Department of Pathology;Analytic Diagnostic Center (ADC);;;p/a Kaya Dakue 66;;;America Latin;CURACAO;Curacao
ALECUCUE;Cuenca;V;200;Cuenca Tumor Registry;rtumor@institutodelcancer.med.ec;(11593) 7 4096566;(11593) 7 4096562;http://www.estadisticas.med.ec/webpages/quienes_somos-cuenca.jsp;Registry Solca-Guayaquil: Coordinator = Rina Quinto rchospital@solca.med.ec;Cuenca;Registro de Tumores SOLCA - Cuenca;Sociedad de Lucha contra el Cáncer;Instituto del Cáncer SOLCA - Cuenca;;Agustin Landivar y Av. Del Paraiso;;10107;America Latin;ECUADOR;Ecuador
ALECUGUA;Guyaquil;V;967;Guayaquil SOLCA Cancer Registry;rtguayaquil@solca.med.ec;593-43718300 ext 2462 - 2464;;http://www.estadisticas.med.ec/webpages/quienes_somos-gye.jsp;NULL;Guayaquil;Department of Information Management and Productivity;SOLCA - Sociedad de Lucha Contra el Cáncer;;;Av. Pedro Menéndez Gilbert y;Av. Atahualpa Chávez;;America Latin;ECUADOR;Ecuador
ALECULOJ;Loja;V;201;Loja Cancer Registry;rtumores@solcaloja.med.ec;593 072 614 314;;;NULL;Loja;Hospital Oncológico Solca Loja/Loja;Sociedad De Lucha Contra El Cancer Loja;;NULL;Loja City: Av. Salvador Bustamante Celi;593072613752  EXT: 2501;11.01.256;America Latin;ECUADOR;Ecuador
ALECUMAN;Manabi;V;202;Manabí Cancer Registry;NULL;593 05 2580016;593 05 2580016;www.solcamanabi.org;NULL;Portoviejo;Registro de Tumores;Hospital Oncológico;NULL;P.O. Box 390;Autopista del Valle;NULL;EC130104;America Latin;ECUADOR;Ecuador
ALECUQUI;Quito;V;203;National Cancer Registry;patycuev@hotmail.com;+593 24 19 76 3;+593 24 19 76 3;http://www.solcaquito.org.ec;NULL;Quito;Sociedad de Lucha Contra el Cancer;SOLCA, Núcleo de Quito;;;Av. Eloy Alfaro 53-94 y Los Pinos;Casilla 1711 4965 CCI;;America Latin;ECUADOR;Ecuador
ALFRFGUY;Fr Guyana;V;204;French Guiana Cancer Registry;registre-guyane@wanadoo.fr;+(0)594 59 43 57 30 9;+(0)594 59 43 79 13 4;;NULL;Cayenne;;Union Régionale des Professionnels de Santé - Médecins de Guyane (U.R.P.S.);Regional Union of Health Care Professionals (URPS);;Villa Domus Medica;;;America Latin;;
ALFRGGUA;Guadeloupe;V;205;General Cancer Registry of Guadeloupe;jacqueline.deloumeaux@chu-guadeloupe.fr;(590)590891606 +590 590 891 609;(590)590891595;;Per 2016 IACR constitution: Pop-based registries = Voting members;Pointe-à-Pitre;;CHU de la Guadeloupe;Hôpital Ricou;B.P. 465;NULL;Route de Chauvel;97159;America Latin;FRANCE_GUADELOUPE;Guadeloupe
ALFRMMAR;Martinique;V;206;Martinique Cancer Registry;jonathan.macni@chu-martinique.fr;(596) 5 96 60 90 62;(596) 5 96 79 94 53;www.amrec.mq/;NULL;Fort-de-France;;University Hospital of Martinique - Oncology unit - UF 1441;;;Résidence les Jardins de la Mouina;127 route de Redoute;97200;America Latin;FRANCE_MARTINIQUE;Martinique
ALGUA10;Guatemala;V;208;National Cancer Registry of Guatemala;registrocancer_guate@yahoo.com;;;;;;;;;;;;;America Latin;;
ALGUY10;Guyana;V;209;Guyana Cancer Registry;;+592 22 38 32 0    +592 22 53 86 1;;;NULL;Georgetown;Chronic Diseases;Ministry of Public Health - Guyana;;;294 Ornoque Street;Queenstown;;America Latin;GUYANA;Guyana
ALHON10;Honduras;V;210;National Cancer Registry of Honduras;asistente_direccion2015@hotmail.com;;;;;;;;;;;;;America Latin;;
ALHON7S;San Felipe;V;211;Cancer Registry of the San Felipe Hospital;progcancerhn@yahoo.com;+504 22 38 36 62 / +504 94 78 60 92;+504 22 38 36 62;NULL;REMOVE pncchond@yahoo.com invlaid address;San Felipe;(Division de Epidemiologia);Hospital San Felipe;(Direccion General de Salud);NULL;(Tegucigalpa D.C.);NULL;NULL;America Latin;HONDURAS;Honduras
ALHON80;Honduras League;V;212;Honduras Cancer League;lgcancer@sulanet.net;(504) 550 6501 / 553 4650 / 550 0999;(504) 550 7622;www.ligacontracancerhonduras.org/lcc-site/;REMOVE lgcancer@sigmanet.hn -invalid address;San Pedro Sula;NULL;NULL;NULL;NULL;10-11 Ave., 8 calle;No. 51, Bo. Suyapa;NULL;America Latin;HONDURAS;Honduras
ALJAMKIN;Kingston;V;213;Jamaica Cancer Registry (Kingston and St. Andrew);tracey.gibson@uwimona.edu.jm;;;;NULL;Kingston;Department of Pathology;The University of the West Indies;;;;;Kingston 7;America Latin;JAMAICA;Jamaica
ALMEX10;Mexico;V;214;Mexican Cancer Registry;dpalami@gmail.com;;;;;;;;;;;;;America Latin;;
ALMEX7M;CMABC;V;217;CMABC CR;NULL;55 52 30 80 00;55 52 72.93.11;http://www.abchospital.com;Private Hospital;Mexico City;NULL;NULL;NULL;NULL;Sur 136#116;Las Americas;1120;America Latin;MEXICO;Mexico
ALMEXBAJ;Baja California;V;1475;BajaREG;patty.2127@hotmail.com;52-1665-1041373;;;IACR Membership confirmed 2017;Tijuana;;;;22010;Ave. Centenario 18051;Col. Zona Urbana Rio Tijuana;22010;America Latin;MEXICO;Mexico
ALMEXBCS;Baja California Sur;V;1478;Cancer Registry of Baja California Sur Mexico;adolfodpbarron@gmail.com;5 216 121 403 816;NULL;www.registrodecancerBCS.org;IACR membership approved 2018 02. Contact is Elena Moreno- elena@elenamoreno.com . Website curr under construction;La Paz;NULL;NULL;NULL;NULL;Calle Morelos 125 Col. Centro;NULL;23000;America Latin;MEXICO;Mexico
ALMEXJAL;Jalisco;V;218;Jalisco Cancer Registry;regcancerjal@hotmail.com;5,23E+11;;;Director is Alejandro Sanches (2019);Guadalajara;Departamento de Estadistica;Secretaria de Salut de Jalisco;;CP 44100;Calle Dr. Baeza Alzaga No. 107, Zona Centro;Guadalajara,;44100;America Latin;MEXICO;Mexico
ALMEXMER;Mérida;V;957;Cancer Registry of Merida;NULL;;;;NULL;Mérida;Unidad de Investigación Medica Yucatán-UMAE-IMSS;;;;Calle 34 #439 x 41 Colonia Industrial; (Ex-terrenos del Fénix, Hospital T1);C.P. 97150.;America Latin;MEXICO;Mexico
ALMEXOAX;Oaxaca;V;219;Cancer Registry of Oaxaca;NULL;NULL;NULL;NULL;NULL;Oaxaca;Departamento Anatomia Patologica;"Hospital General ""Dr Aurelio Valdivieso""";NULL;NULL;Calzada Porfirio Diaz 400;NULL;78050;America Latin;MEXICO;Mexico
ALNIC10;Nicaragua;V;220;Nicaragua National Cancer Registry-CNR;mendezguillenangelesteban@yahoo.fr;(505) 2653404;NULL;NULL;NULL;Managua;Instituto Nacional de Radioterapia y Oncologia;NULL;NULL;NULL;Costado Oeste C.C Nejapa 300 M al Sur;cerca del asentamiento Tierra Prometida;NULL;America Latin;NICARAGUA;Nicaragua
ALPAN10;Panama;V;222;Panama National Cancer Registry;mrodriguez@minsa.gob.pa;(507) 512 9233;(507) 512 9237;www.minsa.gob.pa/contenido/registro-nacional-del-cancer;REGISTRO NACIONAL DEL CANCER DE PANAMA has been reactivated under MOH Dra Reina Roa and Dr Oscar Gonzalez;Panama City;Departamento de Registros y Estadísticas de Salud;Dirección de Planificación;Ministerio de Salud de Panama;APARTADO POSTAL 0816;Avenida Gorgas, Edificio 261-Tercer Piso;;6812;America Latin;PANAMA;Panama
ALPAR10;Paraguay;V;223;Paraguay National Cancer Registry;hectordamipy@hotmail.com;(595) 971245121;;;NULL;Asunción;NULL;Facultad de Ciencias Medicas UNA, Paraguay;;;Mariscal lopez y Mision de la amistad San Lorenzo;NULL;;America Latin;PARAGUAY;Paraguay
ALPERARE;Arequipa;V;225;Population Based Cancer Registry of Arequipa, Peru;registrodecancer_arequipa@outlook.com;+51 54 200092;+51 54 200092;;registrodecancer_arequipa@outlook.com 2017 - Luis Medina Fernandez;Arequipa;Cancer Control Department;Departamento de Oncología y Radioterapia - Hospital Goyeneche;Centro Especializado de Enfermedades Neoplásicas;;Av. Parra 211 Arequipa, Perú;Av. Goyeneche s/n Arequipa, Perú;5154;America Latin;PERU;Peru
ALPERCAJ;Cajamarca;V;226;Cajamarca Population-based Cancer Registry;registro_cancer@yahoo.com;(51) 076 9608076;(51) 076 822414;;NULL;Cajamarca;;;;;Jr Bolivar 294;;;America Latin;PERU;Peru
ALPERLIM;Lima;V;227;Metropolitan Lima Cancer Registry;lima_canreg@inen.sld.pe;;;;;;;;;;;;;America Latin;;
ALPERTRU;Trujillo;V;228;Trujillo Cancer Registry;NULL;(51) 44 244377;NULL;NULL;CR has been taken over by MoH;Trujillo;NULL;NULL;NULL;NULL;Calle Guillermo Charún 279;Urb. San Andrés;NULL;America Latin;PERU;Peru
ALPUE10;Porto Rico;V;229;Puerto Rico Central Cancer Registry;peticiones@rcpr.org;(1) 787 772 8300, ext 1100 and 1110;(1) 787 522 3283;www.rcpr.org;Ms. Yadira Roman, CTR, Program Director to yroman@rcpr.org;San Juan;PMB 315;Comprehensive Cancer Center - UPR;;P.O. Box 70344;;;00936-8344;America Latin;PUERTO_RICO;Puerto Rico
ALSUR10;Surinam;V;234;Pathology-based Cancer Registry of Surinam;NULL;c/o PAHO (597) 471676;c/o PAHO (597) 471568;NULL;NULL;Paramaribo;Pathology Department;Academic Hospital;NULL;NULL;3 Flustraat;NULL;NULL;America Latin;SURINAM;Suriname
ALTAT10;Trinidad Tobago;V;235;National Cancer Registry of Trinidad & Tobago;secretary.canreg@ncrha.co.tt;;;;;;;;;;;;;America Latin;;
ALURU10;Uruguay;V;236;National Cancer Registry of Uruguay;rnc@urucan.org.uy;;598-2402-0810;http://www.comisioncancer.org.uy/Institucional/Registro-Nacional-de-Cancer-uc201;pve@urucan.org.uy (previous quick contact email address);Montevideo;;Comisión Honoraria de Lucha contra el Cáncer;;;Brandzen 1961/1201;;11200;America Latin;URUGUAY;Uruguay
ALVEN10;Venezuela;V;237;Venezuela Cancer Registry;psoncologia@gmail.com;(58) 416 625 3882;(58) 416 625 3882;NULL;NULL;Caracas;NULL;NULL;Oficina de Cooperación Tecnica y Relaciones Internacional – MPP Salud;;;;;America Latin;;
ANBER10;Bermuda;V;134;Bermuda National Tumour Registry;katura.horton-perinchief@bhb.bm;+1441 23 96 41 4;;http://bermudahospitals.bm/services-listing/outpatient-services/oncology/;Transferred from America Latin (ALBER10);;;;;;;;;America North;;
ANCAN10;Canada;V;238;Canadian Cancer Registry;;(1) 514-283-8300;(1) 613 951 0792;;Julie McAuley is not part of HS division. New contact: Jeff Latimer(Director);Ottawa;Centre for Population Health Data;NULL;;;RH Coats 12th floor;100 Tunney's Pasture Driveway;K1A 0T6;America North;CANADA;Canada
ANCAN7T;PM Hospital Toronto;V;969;Princess Margaret Cancer Centre Cancer Registry;Darlene.Dale@uhn.ca;4 169 462 841;;;Darlene.Dale@uhn.ca invalid;Toronto;PM Cancer Registry;University Health Network;;;700 University Ave.,;2 North;M5G 1A6;America North;CANADA;Canada
ANCANALB;Alberta;V;241;Alberta Cancer Registry;Cindy.Nikiforuk@ahs.ca;(1) 780 432 8662;(1) 780 432 8659;www.albertahealthservices.ca;NULL;Edmonton;Alberta Cancer Registry;Alberta Health Services - CancerControl Alberta;Cross Cancer Institute;P.O. Box T6G 1Z2;11560 University Avenue;NULL;AB T6G 1Z2;America North;CANADA;Canada
ANCANBCO;B Columbia;V;242;British Columbia Cancer Registry;registrydirector@bccrc.ca;(1) 604 675 8070;(1) 604 675 8180;www.bccancer.bc.ca;wrobb@bccancer.bc.ca: Wendy Robb is a staff - generic email changed to Director;Vancouver;British Columbia Cancer Research Centre;Cancer Control Research Program;;;2nd floor, Room 116;675 West 10th Avenue;BC V5Z 1L3;America North;CANADA;Canada
ANCANMAN;Manitoba;V;243;Manitoba Cancer Registry;dturner9@cancercare.mb.ca;(1) 204 787 2174;(1) 204 786 0628;https://www.cancercare.mb.ca/Research/epidemiology-cancer-registry;NULL;Winnipeg;Department of Epidemiology and Cancer Registry, CancerCare Manitoba;;;;Room 2114, 675 McDermot Ave.;;MB R3E OV9;America North;CANADA;Canada
ANCANNBR;N Brunswick;V;244;New Brunswick Provincial Cancer Registry;suzanne.leonfellner@gnb.ca;1-506-453-5521;1-506-453-5522;;NULL;Fredericton;NB Cancer Network;Department of health;;P.O. Box 5100;520 king street;;E3B 5G8;America North;CANADA;Canada
ANCANNFD;Newfoundland;V;245;Newfoundland and Labrador Cancer Registry;NULL;(1) 709 752 6716;(1) 709 752 6711;;NULL;St. John's;Cancer Care Program - Eastern Health ;Dr H. Bliss Murphy Cancer Centre;;;300 Prince Philip Drive;;A1B 3V6;America North;CANADA;Canada
ANCANNSC;N Scotia;V;246;Nova Scotia Cancer Registry;Gordon.Walsh@nshealth.ca;(1) 902 473 7258;(1) 902 473 4425;http://www.nshealth.ca/cancer-care;Email 2018: Maureen.MacIntyre@nshealth.ca>;;;;;;;;;America North;CANADA;Canada
ANCANNWT;NW Territories;V;248;Northwest Territories Cancer Registry;kami_kandola@gov.nt.ca;(1) 867 767-9066;(1) 867 873 0442;;PROBLEM WITH EMAIL MAY BE INVALID Lorne_Clearsky@gov.nt.ca;Yellowknife;Department of Health and Social Services;Government of the Northwest Territories;5022-49th Street;P.O. Box 1320;5th Floor New Government Building;;XIA 2L9;America North;CANADA;Canada
ANCANONT;Ontario;V;249;Ontario Cancer Registry;ocrquestions@cancercare.on.ca;(1) 416 971 9800;(1) 416 971 6888;https://www.cancercareontario.ca/en/cancer-care-ontario/programs/data-research/ontario-cancer-registry;NULL;Toronto;Surveillence and Cancer Registry;Cancer Care Ontario;;;620 University Avenue;;M5G 2L7;America North;CANADA;Canada
ANCANPEI;PEI;V;250;Prince Edward Island Cancer Registry;;(1) 902 894 2167;(1) 902 894 2187;;NULL;Charlottetown;Queen Elizabeth Hospital;;;P.O. Box 6000;;;PEI, C1A 8T5;America North;CANADA;Canada
ANCANQUE;Quebec;V;251;Quebec Cancer Registry;christine.bertrand@msss.gouv.qc.ca;(1) 418 266 6940;;;NULL;Quebec City;Direction Quebecois de cancérologie;Ministère de la Santé et des Services Sociaux du Québec;;;1075 Chemin Ste-Foy, 7e étage;;G1S 2M1;America North;CANADA;Canada
ANCANSAN;Saskatchewan;V;252;Saskatchewan Cancer Registry;heather.stuart-panko@saskcancer.ca;(1) 639 625-2045;(1) 639 625-2191;www.saskcancer.ca;NULL;Regina;NULL;Saskatchewan Cancer Agency;;;200 4545 Parliament Avenue;;S4W 0G3;America North;CANADA;Canada
ANUSA11;NPCR;V;254;National Program of Cancer Registries - United States (NPCR);dfo8@cdc.gov;(1) 770 488 3245;(1) 770 488 4760;www.cdc.gov/cancer/npcr/;Moffit Ca Ctr Bone Marrow registry: Christine A Gibson Christine.gibson@moffitt.org;;;;;;;;;America North;CANADA;Canada
ANUSA12;SEER;V;255;Surveillance Research Program (SEER);serban.negoita@nih.gov;(1)240 276 5409;(1)240 276 7921;http://seer.cancer.gov/;Includes: ANUSAALS, ANUSACAG, ANUSACAJ, ANUSACAL, ANUSACON, ANUSAGEA, ANUSAGEG, ANUSAGER, ANUSAIOW, ANUSAKEN, ANUSALAA, ANUSAMID, ANUSANEJ, ANUSANEM, ANUSASAF, ANUSAUTA, ANUSAWEW, OCUSAHAW;Bethesda;National Cancer Institute;;;;9609 Medical Center Drive;Room 4E338;MD  20892-9764;America North;USA;USA
ANUSA14;NCRA;V;257;National Cancer Registrars Association;info@ncra-usa.org;(1) 703 299 6640;(1) 703 299 6620;NULL;NULL;Alexandria;NULL;NULL;NULL;NULL;1330 Braddock Place, Suite 520;NULL;22314;America North;USA;USA
ANUSA17;NAACCR;V;256;North American Association of Central Cancer Registries (NAACCR);bkohler@naaccr.org;(1) 217 698 0800;(1) 217 698 0188;www.naaccr.org;NULL;Springfield;;;Betsy Kohler;62704;2050 W. Iles Ave;;;America North;USA;USA
ANUSA82;USA Cancer Society;V;267;American Cancer Society;omar.shafey@cancer.org;(1) 404 327 6554;(1) 404 329 7530;https://www.cancer.org/;NULL;Atlanta;Surveillance Research Department;American Cancer Society;NULL;NULL;1599 Clifton Rd, N.E.;NULL;30329-4251;America North;USA;USA
ANUSAALB;Alabama;V;274;Alabama Statewide Cancer Registry;justin.george@adph.state.al.us;(1) 334-206-3962;(1) 334-206-3757;www.adph.org/ASCR;NULL;Montgomery;NULL;Alabama Department of Public Health;;;The RSA Tower;201 Monroe Street, Suite 1490;36104;America North;USA;USA
ANUSAALS;Alaska;V;275;Alaska Cancer Registry;cancerregistry@alaska.gov;907-269-6936;907-269-5446;http://dhss.alaska.gov/dph/Chronic/Pages/Cancer/registry.aspx;Contact: Dr. David O'Brien;Anchorage;DHSS-DPH-HAVRS-Cancer Alaska Department of Health and Social Services;;;;3601 C Street, Suite 250;;99503;America North;USA;USA
ANUSAARI;Arizona;V;276;Arizona Cancer Registry;georgia.yee@azdhs.gov;(1) 602 542 7320;(1) 602 542 7362;https://www.azdhs.gov/preparedness/public-health-statistics/cancer-registry/index.php;NULL;Phoenix;Arizona Department of Health Services;;;;150 N. 18th Avenue, Suite 550;;85007-3248;America North;USA;USA
ANUSAARK;Arkansas;V;277;Arkansas Central Cancer Registry;Abby.Holt@arkansas.gov;(1) 501 661 2463;(1) 501 661 2891;http://www.healthy.arkansas.gov/programs-services/topics/arkansas-cancer-registry;NULL;Little Rock;Health Statistics Branch;Arkansas Department of Health;;;4815 West Markham;Slot #7;72205;America North;USA;USA
ANUSACAA;California;V;278;California Cancer Registry;NULL;(1) 916 552 9880;(1) 916 779 0264;www.ccrcal.org;Covers all ANUSACA* /// janet.bates@cdph.ca.gov - email is not valid (25/10/2018).;Sacramento;California Department of Public Health, Cancer Surveillance & Research Branch;MS 7205;NULL;P.O. Box 997377;NULL;NULL;95899-7377;America North;USA;USA
ANUSACAB;Greater Bay;V;279;Greater Bay Area Cancer Registry;sgomez@psg.ucsf.edu;(1) 510 608 5000;(1) 510 608 5095;https://cancerregistry.ucsf.edu/greater-bay-area-cancer-registry;Covered by ANUSACAC;;;;;;;;;America North;USA;USA
ANUSACAL;Los Angeles;V;284;Los Angeles Cancer Surveillance Program;ddeapen@usc.edu;(1) 323 442 1574;(1) 323 442 2301;https://keck.usc.edu/cancer-surveillance-program/;Covered by ANUSACAA;Los Angeles;;Keck School of Medicine;University of Southern California;;2001 N. Soto Street;Suite 305, MC 9238;90089-9238;America North;USA;USA
ANUSACAO;Orange County;V;285;Cancer Surveillance Program of Orange County;hantoncu@uci.edu;(1) 714 824 7401;(1) 714 824 4773;www.epi.uci.edu/index.cfm/go/cs.cs;Covered by ANUSACAC;Irvine;Department of Epidemiology;University of California, Irvine;NULL;NULL;Irwin Hall  224;NULL;92717-7550;America North;USA;USA
ANUSACAU;UCLA;V;287;UCLA Tumor Registry;zfzhang@ucla.edu;(1) 310 825 8418;(1) 310 206 6039;www.ph.ucla.edu/epi/faculty/zhang/tumorreg/tumorreg.htm;The UCLA Tumor Registry has been in existence for as long as the UCLA Medical Center, since 1955.;Los Angeles;University of California, Los Angeles;NULL;NULL;Box 951772;71-254 CHS;NULL;90095-1772;America North;USA;USA
ANUSACLN;N Carolina;V;288;North Carolina Central Cancer Registry;chandrika.rao@dhhs.nc.gov;(1) 919 792-5946;(1) 919 715-7294;http://www.schs.state.nc.us/units/ccr/;NULL;Raleigh;State Center for Health Statistics;Central Cancer Registry;;;1908 Mail Service Center;1908 Mail Service Center;27699-1908;America North;USA;USA
ANUSACLS;S Carolina;V;289;South Carolina Central Cancer Registry;cancer.registry@dhec.sc.gov;(803) 898-3001;(803) 898-0993;https://scdhec.gov/health/diseases-conditions/cancer/sc-cancer-statistics-and-reports/sc-central-cancer-registry;NULL;Columbia;NULL;Department of Health and Environmental Control;NULL;NULL;2600 Bull St.;NULL;29201;America North;USA;USA
ANUSACOL;Colorado;V;290;Colorado Central Cancer Registry;cdphe.pscaregistry@state.co.us;(1) 303 692 2540;(1) 303 691 7721;https://www.colorado.gov/pacific/cdphe/cancerregistry;NULL;Denver;Colorado Department of Public Health and Environment;Center for Health and Environmental Data;NULL;NULL;4300 Cherry Creek Drive South;CHED-CR-A5;80246-1530;America North;USA;USA
ANUSACON;Connecticut;V;291;Connecticut Tumor Registry;anna.legere@ct.gov;(+1) 860 509 7163;(+1) 860 509 7161;http://www.ct.gov/dph/tumorregistry;NULL;Hartford;;State of Connecticut Department of Public Health;;P.O. Box 340308;410 Capitol Avenue, MS# 13TMR;;06134-0308;America North;USA;USA
ANUSADAN;N Dakota;V;292;North Dakota Statewide Cancer Registry;yun.zheng@med.und.edu;(1) 701-777-0791;(1) 701-777-3108;https://ndcancer.org/;NULL;Grand Forks;Department of Pathology;School of Medicine & Health Sciences;University of North Dakota;;1301 N. Columbia Rd, stop 9037, RM W428;;ND 58203-9037;America North;USA;USA
ANUSADAS;S Dakota;V;293;South Dakota Cancer Registry;kay.dosch@state.sd.us;;605-773-5201;https://getscreened.sd.gov/registry/;kay.dosch@state.sd.us (CI5XI contact);Pierre;Health and Medical Services;South Dakota Department of Health;;;615 E 4th St;;57501;America North;USA;USA
ANUSADEL;Delaware;V;294;Delaware Cancer Registry;Heather.Brown@state.de.us;(1) 302 744-1061;(1) 302 739-2545;http://dhss.delaware.gov/dph/dcr/home.html;NULL;Dover;Comprehensive Cancer Control Program;Department of Chronic Disease;Delaware Division of Public Health;NULL;540 S. DuPont Hwy;Thomas Collins Bldg, Suite 11;19901;America North;USA;USA
ANUSADIC;DC;V;295;District of Columbia Cancer Registry;alfreda.woods@dc.gov;(1) 202 442-9216;(1) 202 442-9388;https://dchealth.dc.gov/service/cancer-registry-0;7/2017: Alfreda Woods, BS, CHES, CTR;;;;;;;;;America North;USA;USA
ANUSAFLO;Florida;V;296;Florida Cancer Data System;dlee@med.miami.edu;(1) 305 243 4600;(1) 305 243 4871;https://fcds.med.miami.edu/inc/welcome.shtml;NULL;Miami;Sylvester Comprehensive Cancer Center;University of Miami School of Medicine;;P.O. Box 016960 (D4-11);NULL;;33101;America North;USA;USA
ANUSAGAA;Georgia;V;297;Georgia Comprehensive Cancer Registry;;(1) 404-657-2617;(1) 404 463 0780;https://dph.georgia.gov/georgia-comprehensive-cancer-registry;Covers ANUSAGEA, GEG and GER. The Georgia Comprehensive Cancer Registry (GCCR) is a statewide population-based cancer registry collecting all cancer cases diagnosed among Georgia residents since January 1, 1995.;Atlanta;Georgia Department of Public Health;Health Protection;Epidemiology Section;;2 Peachtree Street, NW, 14th floor Suite 14-440;;30303-3142;America North;USA;USA
ANUSAIDA;Idaho;V;301;Cancer Data Registry of Idaho (CDRI);cjohnson@teamiha.org;(1) 208 489 1380;(1) 208 344 0180;https://www.idcancer.org/;NULL;Boise;;;;P.O. Box 1278;615 N. 7th St;;83701-1278;America North;USA;USA
ANUSAILL;Illinois;V;302;Illinois State Cancer Registry;lori.koch@Illinois.gov;217-785-7132;217-524-1770;http://dph.illinois.gov/data-statistics/epidemiology/cancer-registry;NULL;Springfield;Divsion of Epidemiologic Studies;Illinois Department of Public Health;;;535 W. Jefferson St., 3rd floor;;62761;America North;USA;USA
ANUSAIND;Indiana;V;303;Indiana State Cancer Registry;;(1) 317 233 7424;(1) 317 233 7722;https://www.in.gov/isdh/24968.htm;bstrong@isdh.in.gov  Invalid email address.;Indianapolis;Chronic Disease, Primary Care and Rural Health;Indiana State Department of Health;;;2 N. Meridian St., Section 6-B;;46204-3006;America North;USA;USA
ANUSAIOW;Iowa;V;304;Iowa Cancer Registry;charles-lynch@uiowa.edu;(1) 319 384 1558;(1) 319 384 4155;http://cph.uiowa.edu/shri/;NULL;Iowa City;Department of Epidemiology;University of Iowa;;;S447 CPHB, 145 N. Riverside Dr.;NULL;52242;America North;USA;USA
ANUSAKAN;Kansas;V;305;Kansas Cancer Registry;NULL;(1) 913 588 2744;(1) 913 588 2780;www.kumc.edu/kcr/;NULL;Kansas City;NULL;University of Kansas Medical Center;NULL;NULL;4004 Robinson MS 1008;NULL;661 600 000;America North;USA;USA
ANUSAKEN;Kentucky;V;306;Kentucky Cancer Registry;ericd@kcr.uky.edu;(1) 859 218-3179;(1) 859 257-4177;www.kcr.uky.edu;NULL;Lexington;Markey Cancer Center Cancer Control Program;;;;;;;America North;USA;USA
