name;membership;reg_link;name;url;city;department;continent;country_u;country
Pasto;V;180;Cancer Registry of Pasto;http://rpcmp.udenar.edu.co/;Pasto;Centro de Estudios en Salud;America Latin;COLOMBIA;Colombia
Popoyan;N;181;Popoyan Cancer Registry;NULL;NULL;NULL;America Latin;COLOMBIA;Colombia
Costa Rica;V;182;Costa Rica National Tumor Registry;https://www.ministeriodesalud.go.cr;San José;Dirección Vigilancia de la Salud;America Latin;COSTA_RICA;Costa Rica
Cuba;V;183;Cuba National Cancer Registry;http://www.rnc.sld.cu/;La Habana;Registro Nacional de Cáncer;America Latin;CUBA;Cuba
Camaguey;N;184;Camaguey Cancer Registry;NULL;Camaguey;NULL;America Latin;CUBA;Cuba
Ciego Avila;N;185;Ciego de Avila Cancer Registry;NULL;Ciego de Avila;NULL;America Latin;CUBA;Cuba
Cienfuegos;N;186;Cienfuegos Cancer Registry;NULL;Cienfuegos;NULL;America Latin;CUBA;Cuba
Granma;N;187;Granma Cancer Registry;NULL;Granma;NULL;America Latin;CUBA;Cuba
Guantanamo;N;188;Guantanamo Cancer Registry;NULL;Guantanamo;NULL;America Latin;CUBA;Cuba
Holguin;N;189;Holguin Cancer Registry;NULL;Holguin;NULL;America Latin;CUBA;Cuba
Isla Juventud;N;190;Juventud Island Cancer Registry;NULL;Isla de la Juventud;NULL;America Latin;CUBA;Cuba
Havana;N;191;La Habana Cancer Registry;NULL;La Habana;NULL;America Latin;CUBA;Cuba
Tunas;N;192;Las Tunas Cancer Registry;NULL;Las Tunas;NULL;America Latin;CUBA;Cuba
Matanzas;N;193;Matanzas Cancer Registry;NULL;Matanzas;NULL;America Latin;CUBA;Cuba
Pinar Rio;N;194;Pinar del Rio Cancer Registry;NULL;Pinar del Rio;NULL;America Latin;CUBA;Cuba
Sancti Spiritus;N;195;Sancti Spiritus Cancer Registry;NULL;Sancti Spiritus;NULL;America Latin;CUBA;Cuba
Santiago Cuba;N;196;Santiago de Cuba Cancer Registry;NULL;Santiago de Cuba;NULL;America Latin;CUBA;Cuba
Villa Clara;N;197;Villa Clara Cancer Registry;NULL;Villa Clara;NULL;America Latin;CUBA;Cuba
Curacao;V;198;Cancer Registry of Curacao;;Willemstad, Curaçao;Department of Pathology;America Latin;CURACAO;Curacao
Dominica;N;199;Dominica Cancer Registry;NULL;NULL;NULL;America Latin;DOMINICA;Dominica
Ecuador 5 registries;N;980;CUE, GUA, LOJ, MAN & QUI for IICC3;NULL;NULL;NULL;America Latin;ECUADOR;Ecuador
Cuenca;V;200;Cuenca Tumor Registry;http://www.estadisticas.med.ec/webpages/quienes_somos-cuenca.jsp;Cuenca;Registro de Tumores SOLCA - Cuenca;America Latin;ECUADOR;Ecuador
Guyaquil;V;967;Guayaquil SOLCA Cancer Registry;http://www.estadisticas.med.ec/webpages/quienes_somos-gye.jsp;Guayaquil;Department of Information Management and Productivity;America Latin;ECUADOR;Ecuador
Loja;V;201;Loja Cancer Registry;;Loja;Hospital Oncológico Solca Loja/Loja;America Latin;ECUADOR;Ecuador
Manabi;V;202;Manabí Cancer Registry;www.solcamanabi.org;Portoviejo;Registro de Tumores;America Latin;ECUADOR;Ecuador
Quito;V;203;National Cancer Registry;http://www.solcaquito.org.ec;Quito;Sociedad de Lucha Contra el Cancer;America Latin;ECUADOR;Ecuador
Fr Guyana;V;204;French Guiana Cancer Registry;;Cayenne;;America Latin;FRANCE_FRENCH_GUIANA;French Guiana
Guadeloupe;V;205;General Cancer Registry of Guadeloupe;;Pointe à Pitre;;America Latin;FRANCE_GUADELOUPE;Guadeloupe
Martinique;V;206;Martinique Cancer Registry;www.amrec.mq/;Fort de France;;America Latin;FRANCE_MARTINIQUE;Martinique
TOM, 3 registries;N;1092;FRGUY, FRGGUA & FRMMAR for IICC-3;NULL;NULL;NULL;America Latin;FRANCE_TOM_Latin;TOM Latin America
Grenada Carriacou;N;207;National Cancer Registry of Grenada, Carriacou;NULL;NULL;NULL;America Latin;GRENADA;Grenada
Guatemala;V;208;National Cancer Registry of Guatemala;http://regcangua.zzl.org/;Ciudad de Guatemala;NULL;America Latin;GUATEMALA;Guatemala
Guatemala_P;U;1353;Guatemala Paediatric Cancer Registry;NULL;Guatemala;NULL;America Latin;GUATEMALA;Guatemala
Guyana;V;209;Guyana Cancer Registry;;Georgetown;Chronic Diseases;America Latin;GUYANA;Guyana
Honduras;V;210;National Cancer Registry of Honduras;;Tegucigalpa;Direccion;America Latin;HONDURAS;Honduras
San Felipe;V;211;Cancer Registry of the San Felipe Hospital;NULL;San Felipe;(Division de Epidemiologia);America Latin;HONDURAS;Honduras
Honduras League;V;212;Honduras Cancer League;www.ligacontracancerhonduras.org/lcc-site/;San Pedro Sula;NULL;America Latin;HONDURAS;Honduras
Francisco Morazán;U;1277;Francisco Morazán;NULL;NULL;NULL;America Latin;HONDURAS;Honduras
Kingston;V;213;Jamaica Cancer Registry (Kingston and St. Andrew);;Mona;Department of Pathology;America Latin;JAMAICA;Jamaica
Mexico;V;214;Mexican Cancer Registry;https://www.redcancer.mx/;Ciudad de México;NULL;America Latin;MEXICO;Mexico
NCI Mexico;U;215;National Cancer Institute;NULL;Mexico;NULL;America Latin;MEXICO;Mexico
Mexico_P;N;216;Children Cancer Registry of Mexico;;México;Unidad de Investigación en Epidemiología Clínica;America Latin;MEXICO;Mexico
CMABC;V;217;CMABC CR;http://www.abchospital.com;Mexico;NULL;America Latin;MEXICO;Mexico
Mexico contact;I;1235;Dr Eduardo Hernández-Garduño;NULL;NULL;NULL;America Latin;MEXICO;Mexico
Baja California;V;1475;BajaREG;;Tijuana;;America Latin;MEXICO;Mexico
Baja California Sur;V;1478;Cancer Registry of Baja California Sur Mexico;www.registrodecancerBCS.org;La Paz;NULL;America Latin;MEXICO;Mexico
Jalisco;V;218;Jalisco Cancer Registry;;Guadalajara;Departamento de Estadistica;America Latin;MEXICO;Mexico
Merida;V;957;Cancer Registry of Merida;;Merida;Unidad de Investigación Medica Yucatán-UMAE-IMSS;America Latin;MEXICO;Mexico
Oaxaca;V;219;Cancer Registry of Oaxaca;NULL;Oaxaca;Departamento Anatomia Patologica;America Latin;MEXICO;Mexico
Nicaragua;V;220;Nicaragua National Cancer Registry-CNR;NULL;Managua;Instituto Nacional de Radioterapia y Oncologia;America Latin;NICARAGUA;Nicaragua
Léon;I;221;Cancer Registry of Léon;NULL;Léon;NULL;America Latin;NICARAGUA;Nicaragua
Panama;V;222;Panama National Cancer Registry;www.minsa.gob.pa/contenido/registro-nacional-del-cancer;Panama;Departamento de Registros y Estadísticas de Salud;America Latin;PANAMA;Panama
Paraguay;V;223;Paraguay National Cancer Registry;;Asunción;NULL;America Latin;PARAGUAY;Paraguay
Peru, 2 registries;N;1362;LIM & TRU for IICC-3;NULL;NULL;NULL;America Latin;PERU;Peru
Juan Carlos Yabar Peña;I;1484;Juan Carlos Yabar Peña;NULL;Cusco;NULL;America Latin;PERU;Peru
Piura hospital-based;I;224;Cayetano Heredia Regional Hospital Piura;NULL;Piura;NULL;America Latin;PERU;Peru
Arequipa;V;225;Population Based Cancer Registry of Arequipa, Peru;;Arequipa;Cancer Control Department;America Latin;PERU;Peru
Cajamarca;V;226;Cajamarca Population-based Cancer Registry;;Cajamarca;;America Latin;PERU;Peru
Lima;V;227;Metropolitan Lima Cancer Registry;http://portal.inen.sld.pe/registro-de-cancer-en-lima-metropolitana/;Lima;Departamento de Epidemiología y Estadística del Cáncer;America Latin;PERU;Peru
Trujillo;V;228;Trujillo Cancer Registry;NULL;Trujillo;NULL;America Latin;PERU;Peru
Porto Rico;V;229;Puerto Rico Central Cancer Registry;www.rcpr.org;San Juan;PMB 315;America Latin;PUERTO_RICO;Puerto Rico
Saint Lucia;N;230;Saint Lucia National Cancer Registry;NULL;NULL;NULL;America Latin;SAINT_LUCIA;Saint Lucia
Salvador;N;231;El Salvador Tumor Registry;;San Salvador;;America Latin;EL_SALVADOR;El Salvador
Salvador_P;N;232;El Salvador National Paediatric Cancer Registry (ROPESAL);http://www.ayudameavivir.com.sv/;San Salvador;Hematology-Oncology;America Latin;EL_SALVADOR;El Salvador
St Vincent;I;233;St Vincent and the Grenadines Cancer Registry;NULL;Kingstown;Department of Pathology;America Latin;SAINT_VINCENT;Saint Vincent
Surinam;V;234;Pathology-based Cancer Registry of Surinam;NULL;Paramaribo;Pathology Department;America Latin;SURINAM;Suriname
Trinidad Tobago;V;235;National Cancer Registry of Trinidad & Tobago;;Trinidad;(North Central Regional Health Authority);America Latin;TRINIDAD_AND_TOBAGO;Trinidad and Tobago
Trinidad Tobago_P;N;1095;National childhood cancer registry of Trinidad and Tobago;NULL;NULL;NULL;America Latin;TRINIDAD_AND_TOBAGO;Trinidad and Tobago
Uruguay;V;236;National Cancer Registry of Uruguay;http://www.comisioncancer.org.uy/Institucional/Registro-Nacional-de-Cancer-uc201;Montevideo;;America Latin;URUGUAY;Uruguay
Venezuela;V;237;Venezuela Cancer Registry;NULL;San Antonio de Los Altos;NULL;America Latin;VENEZUELA;Venezuela
Bermuda;V;134;Bermuda National Tumour Registry;http://bermudahospitals.bm/services-listing/outpatient-services/oncology/;Hamilton;Health Information Management Systems;America North;BERMUDA;Bermuda
Canada;V;238;Canadian Cancer Registry;;Ottawa;Centre for Population Health Data;America North;CANADA;Canada
Canada Atlantic Provinces;N;981;N Brunswick, Newfoundland, N Scotia, PEI for IICC3;NULL;NULL;NULL;America North;CANADA;Canada
Canada Western Provinces;N;982;Alberta, B Columbia, Manitoba, Saskatchewan for IICC3;NULL;NULL;NULL;America North;CANADA;Canada
Canada, 9 registries;N;1363;ALB, BCO, MAN, NSC, NWT, ONT, QUE, SAN & YUK for IICC-3;NULL;NULL;NULL;America North;CANADA;Canada
PM Hospital Toronto;V;969;Princess Margaret Cancer Centre Cancer Registry;;Toronto,;PM Cancer Registry;America North;CANADA;Canada
Partnership;N;239;Canadian Partnership Against Cancer;NULL;Toronto;NULL;America North;CANADA;Canada
Ottawa University;C;240;University of Ottawa;www.medicine.uottawa.ca/epid/eng/birkettbio.html;Ottawa;Epidemiology and Community Medicine (Ottawa);America North;CANADA;Canada
Alberta;V;241;Alberta Cancer Registry;www.albertahealthservices.ca;Edmonton;Alberta Cancer Registry;America North;CANADA;Canada
B Columbia;V;242;British Columbia Cancer Registry;www.bccancer.bc.ca;Vancouver;British Columbia Cancer Research Centre;America North;CANADA;Canada
Manitoba;V;243;Manitoba Cancer Registry;https://www.cancercare.mb.ca/Research/epidemiology-cancer-registry;Winnipeg;Department of Epidemiology and Cancer Registry, CancerCare Manitoba;America North;CANADA;Canada
N Brunswick;V;244;New Brunswick Provincial Cancer Registry;;Fredericton;NB Cancer Network;America North;CANADA;Canada
Newfoundland;V;245;Newfoundland and Labrador Cancer Registry;;St. John''s;Cancer Care Program - Eastern Health ;America North;CANADA;Canada
N Scotia;V;246;Nova Scotia Cancer Registry;http://www.nshealth.ca/cancer-care;Halifax;Cancer Registry & Analytics;America North;CANADA;Canada
Nunavut;N;247;Nunavut Cancer Registry;NULL;Iqaluit;NULL;America North;CANADA;Canada
NW Territories;V;248;Northwest Territories Cancer Registry;;Yellowknife;Department of Health and Social Services;America North;CANADA;Canada
Ontario;V;249;Ontario Cancer Registry;https://www.cancercareontario.ca/en/cancer-care-ontario/programs/data-research/ontario-cancer-registry;Toronto;Surveillence and Cancer Registry;America North;CANADA;Canada
PEI;V;250;Prince Edward Island Cancer Registry;;Charlottetown;Queen Elizabeth Hospital;America North;CANADA;Canada
Quebec;V;251;Quebec Cancer Registry;;Québec;Direction Quebecois de cancérologie;America North;CANADA;Canada
Saskatchewan;V;252;Saskatchewan Cancer Registry;www.saskcancer.ca;Regina;NULL;America North;CANADA;Canada
Yukon;N;253;Yukon Cancer Registry;NULL;Yukon;;America North;CANADA;Canada
USA, national;N;1370;NPCR+SEER non-overlapping;NULL;NULL;NULL;America North;USA;USA
NPCR;V;254;National Program of Cancer Registries - United States (NPCR);www.cdc.gov/cancer/npcr/;Atlanta;Centers for Disease Control and Prevention;America North;USA;USA
SEER;V;255;Surveillance Research Program (SEER);http://seer.cancer.gov/;Bethesda;National Cancer Institute;America North;USA;USA
NCRA;V;257;National Cancer Registrars Association;NULL;Alexandria;NULL;America North;USA;USA
SEER 9;N;258;SEER - 9 Registries;NULL;Bethesda;National Cancer Institute;America North;USA;USA
NAACCR;V;256;North American Association of Central Cancer Registries (NAACCR);www.naaccr.org;Springfield;;America North;USA;USA
Delaware_P;N;259;Greater Delaware Valley Pediatric Tumor Registry;NULL;Philadelphia;Division of Oncology;America North;USA;USA
Georgia, excl. Atlanta;N;260;Georgia except Atlanta;NULL;NULL;NULL;America North;USA;USA
Algeria 3 registries;N;1002;Annaba, Sétif, Tlemcen for IICC3;NULL;NULL;NULL;Africa;ALGERIA;Algeria
S.E. Massachusetts hospital-based;N;261;Southeastern Massachusetts Cancer Registry;NULL;Brockton;NULL;America North;USA;USA
Broward Cancer Center;N;262;Broward General Comprehensive Cancer Center;www.browardhealth.org;Fort Lauderdale;NULL;America North;USA;USA
Greater Lowell;N;263;Greater Lowell Cancer Program;www.lowellgeneral.org/go/news/cancer-program-at-lgh-approved-with-commendation-by-the-acos-commission-on-cancer;Lowell;NULL;America North;USA;USA
Minnesota Medical School;N;264;University of Minnesota Medical School;NULL;Minneapolis;Department of Pediatrics and Epidemiology;America North;USA;USA
Virginia College;N;265;Medical College of Virginia;NULL;Richmond;Quality Healthcare;America North;USA;USA
Ries;I;266;Lynn Ries;NULL;Rockville;NULL;America North;USA;USA
USA Contact;I;1233;Dr ANNA MARIA LIZAMA CLARK;NULL;Orlando;NULL;America North;USA;USA
Dr Vivek Kumar (IND);I;1379;Dr Vivek Kumar;NULL;New York;NULL;America North;USA;USA
Dr Lisa Force;I;1479;Dr Lisa Force;www.stjude.org;Memphis;Pediatric Hematology-Oncology;America North;USA;USA
USA Cancer Society;V;267;American Cancer Society;https://www.cancer.org/;Atlanta;Surveillance Research Department;America North;USA;USA
Abbott;I;268;Abbott;NULL;Abbott Park;NULL;America North;USA;USA
PATH;N;269;PATH;NULL;Seattle;NULL;America North;USA;USA
PAHO;N;270;Pan American Health Organisation;http://new.paho.org/;Washington;NULL;America North;USA;USA
Jhpiego;N;271;Jhpiego;NULL;Baltimore;NULL;America North;USA;USA
Impac;C;272;Electa I;www.elekta.com;Atlanta;NULL;America North;USA;USA
EngenderHealth;N;273;EngenderHealth;NULL;New York;NULL;America North;USA;USA
Alabama;V;274;Alabama Statewide Cancer Registry;www.adph.org/ASCR;Montgomery;NULL;America North;USA;USA
USA, Alaska, Natives;N;1123;Alaska Native Tumor Registry;http://anthctoday.org/epicenter/antr/;Anchorage;Alaska Native Epidemiology Center;America North;USA;USA
Alaska;V;275;Alaska Cancer Registry;http://dhss.alaska.gov/dph/Chronic/Pages/Cancer/registry.aspx;Anchorage;DHSS-DPH-HAVRS-Cancer Alaska Department of Health and Social Services;America North;USA;USA
Arizona;V;276;Arizona Cancer Registry;https://www.azdhs.gov/preparedness/public-health-statistics/cancer-registry/index.php;Phoenix;Arizona Department of Health Services;America North;USA;USA
Arkansas;V;277;Arkansas Central Cancer Registry;http://www.healthy.arkansas.gov/programs-services/topics/arkansas-cancer-registry;Little Rock;Health Statistics Branch;America North;USA;USA
California;V;278;California Cancer Registry;www.ccrcal.org;Sacramento;California Department of Public Health, Cancer Surveillance & Research Branch;America North;USA;USA
Greater Bay;V;279;Greater Bay Area Cancer Registry;https://cancerregistry.ucsf.edu/greater-bay-area-cancer-registry;San Francisco;"Department of Epidemiology and Biostatistics; University of California, San Francisco";America North;USA;USA
C California;U;280;Cancer Registry of Central California;http://www.ccrcal.org/Regional_Registries/Contact_Information.shtml;Fresno;NULL;America North;USA;USA
San Francisco;N;281;San Francisco - Oakland;https://cancerregistry.ucsf.edu/;NULL;NULL;America North;USA;USA
Greater California;C;282;Cancer Registry of Greater California;http://crgc-cancer.org/;Sacramento;;America North;USA;USA
San Jose;N;283;San Jose - Monterey;https://cancerregistry.ucsf.edu/;Fremont;;America North;USA;USA
Los Angeles;V;284;Los Angeles Cancer Surveillance Program;https://keck.usc.edu/cancer-surveillance-program/;Los Angeles;;America North;USA;USA
Orange County;V;285;Cancer Surveillance Program of Orange County;www.epi.uci.edu/index.cfm/go/cs.cs;Irvine;Department of Epidemiology;America North;USA;USA
Tri-County;N;286;national cancer registry;;Santa Barbara;;America North;USA;USA
UCLA;V;287;UCLA Tumor Registry;www.ph.ucla.edu/epi/faculty/zhang/tumorreg/tumorreg.htm;Los Angeles;University of California, Los Angeles;America North;USA;USA
N Carolina;V;288;North Carolina Central Cancer Registry;http://www.schs.state.nc.us/units/ccr/;Raleigh;State Center for Health Statistics;America North;USA;USA
S Carolina;V;289;South Carolina Central Cancer Registry;https://scdhec.gov/health/diseases-conditions/cancer/sc-cancer-statistics-and-reports/sc-central-cancer-registry;Columbia;NULL;America North;USA;USA
Colorado;V;290;Colorado Central Cancer Registry;https://www.colorado.gov/pacific/cdphe/cancerregistry;Denver;Colorado Department of Public Health and Environment;America North;USA;USA
Connecticut;V;291;Connecticut Tumor Registry;http://www.ct.gov/dph/tumorregistry;Hartford;;America North;USA;USA
N Dakota;V;292;North Dakota Statewide Cancer Registry;https://ndcancer.org/;Grand Forks;Department of Pathology;America North;USA;USA
S Dakota;V;293;South Dakota Cancer Registry;https://getscreened.sd.gov/registry/;Pierre;Health and Medical Services;America North;USA;USA
Delaware;V;294;Delaware Cancer Registry;http://dhss.delaware.gov/dph/dcr/home.html;Dover;Comprehensive Cancer Control Program;America North;USA;USA
DC;V;295;District of Columbia Cancer Registry;https://dchealth.dc.gov/service/cancer-registry-0;Washington, DC;DC Cancer Registry - Bureau of Cancer and Chronic Disease;America North;USA;USA
Florida;V;296;Florida Cancer Data System;https://fcds.med.miami.edu/inc/welcome.shtml;Miami;Sylvester Comprehensive Cancer Center;America North;USA;USA
Georgia;V;297;Georgia Comprehensive Cancer Registry;https://dph.georgia.gov/georgia-comprehensive-cancer-registry;Atlanta;Georgia Department of Public Health;America North;USA;USA
Atlanta;N;298;Metro Atlanta SEER Registry;https://seer.cancer.gov/registries/greater_georgia.html#atlanta;Atlanta;Georgia Center for Cancer Statistics;America North;USA;USA
Georgia, Greater;U;299;Greater Georgia Registry;https://seer.cancer.gov/registries/greater_georgia.html#greater;NULL;NULL;America North;USA;USA
Georgia, Rural;N;300;Rural Georgia SEER Registry;https://seer.cancer.gov/registries/greater_georgia.html#rural;Atlanta;Georgia Center for Cancer Statistics;America North;USA;USA
Idaho;V;301;Cancer Data Registry of Idaho (CDRI);https://www.idcancer.org/;Boise;;America North;USA;USA
Illinois;V;302;Illinois State Cancer Registry;http://dph.illinois.gov/data-statistics/epidemiology/cancer-registry;Springfield;Divsion of Epidemiologic Studies;America North;USA;USA
Indiana;V;303;Indiana State Cancer Registry;https://www.in.gov/isdh/24968.htm;Indianapolis;Chronic Disease, Primary Care and Rural Health;America North;USA;USA
Iowa;V;304;Iowa Cancer Registry;http://cph.uiowa.edu/shri/;Iowa;Department of Epidemiology;America North;USA;USA
Kansas;V;305;Kansas Cancer Registry;www.kumc.edu/kcr/;Kansas;NULL;America North;USA;USA
Kentucky;V;306;Kentucky Cancer Registry;www.kcr.uky.edu;Lexington;"Markey Cancer Center Cancer Control Program; Markey Cancer Center";America North;USA;USA
Louisiana;V;307;Louisiana Tumor Registry;https://sph.lsuhsc.edu/louisiana-tumor-registry/;New Orleans;Epidemiology Program, School of Public Health;America North;USA;USA
N Louisiana;V;308;North Louisiana Regional Tumor Registry;NULL;Monroe;NULL;America North;USA;USA
New Orleans;N;309;New Orleans Regional Tumor Registry;http://louisianatumorregistry.lsuhsc.edu/;New Orleans;School of Public Health;America North;USA;USA
Loyola University;N;310;Loyola University Medical Center;http://loyolamedicine.org/Medical_Services/Services_A-Z/Pathology-Services.cfm;Maywood;Department of Pathology;America North;USA;USA
Maine;V;311;Maine Cancer Registry;http://www.maine.gov/dhhs/mecdc/public-health-systems/data-research/vital-records/mcr/;Augusta;Department of Health and Human Services;America North;USA;USA
Maryland;V;312;Maryland Cancer Registry;https://phpa.health.maryland.gov/cancer/Pages/mcr_home.aspx;Baltimore;Department of Health ;America North;USA;USA
Massachusetts;V;313;Massachusetts Cancer Registry;https://www.mass.gov/massachusetts-cancer-registry;Boston;Office of Data Management and Outcome Assessment (ODMOA);America North;USA;USA
Michigan;V;314;Michigan Cancer Surveillance Program;https://www.michigan.gov/mdhhs/0,5885,7-339-71551_2945_5221-16586--,00.html;Lansing;Michigan Dept of Community Health;America North;USA;USA
Detroit;V;315;Metropolitan Detroit Cancer Surveillance System (MDCSS);http://research1.karmanos.org/epid/;Detroit;Epidemiology Section;America North;USA;USA
Minnesota;V;316;Minnesota Cancer Surveillance System (MCSS);http://www.health.state.mn.us/divs/hpcd/cdee/mcss/;St. Paul;Health Promotion and Chronic Disease;America North;USA;USA
Mississippi;V;317;Mississippi Cancer Registry;http://mcr.umc.edu/index.html;Jackson;NULL;America North;USA;USA
Missouri;V;318;Missouri Cancer Registry and Research Center;http://mcr.umh.edu;Columbia;Department of Health Management & Informatics;America North;USA;USA
Montana;V;319;Montana Cancer Control Programs;www.cancer.mt.gov;Helena;Cancer Surveillance and Epidemiology Program;America North;USA;USA
Nebraska;V;320;Nebraska Cancer Registry;;Lincoln;;America North;USA;USA
Nevada;V;321;Nevada Central Cancer Registry;http://dpbh.nv.gov/Programs/NCCR/Nevada_Central_Cancer_Registry_(NCCR)_-Home/;Carson;Division of Public and Behavioral Health, Office of Public Health Informatics and Epidemiology;America North;USA;USA
New Hampshire;V;322;New Hampshire State Cancer Registry;https://geiselmed.dartmouth.edu/nhscr/;Hanover;c/o Dartmouth College;America North;USA;USA
New Jersey;V;323;New Jersey State Cancer Registry;https://www.nj.gov/health/ces/reporting-entities/njscr;Trenton;Cancer Epidemiology Services;America North;USA;USA
New Mexico;V;324;New Mexico Tumor Registry;https://nmtrweb.unm.edu/;Albuquerque;New Mexico Tumor Registry;America North;USA;USA
New York State;V;325;New York State Cancer Registry;http://www.health.ny.gov/statistics/cancer/registry/;Albany;Bureau of Cancer Epidemiology;America North;USA;USA
Rochester;N;326;Rochester Regional Tumor Registry;NULL;Rochester;NULL;America North;USA;USA
Ohio;V;327;Ohio Cancer Incidence Surveillance System;https://odh.ohio.gov/wps/portal/gov/odh/know-our-programs/ohio-cancer-incidence-surveillance-system/welcome-to;Columbus;OCISS;America North;USA;USA
Oklahoma;V;328;Oklahoma Central Cancer Registry;https://www.ok.gov/health/Wellness/Chronic_Disease_Service/Cancer/Oklahoma_Central_Cancer_Registry/;Oklahoma;NULL;America North;USA;USA
Oregon;V;329;Oregon State Cancer Registry;http://public.health.oregon.gov/DiseasesConditions/ChronicDisease/Cancer/oscar/Pages/index.aspx;Portland;Center for Prevention and Health Promotion;America North;USA;USA
Pennsylvania;V;330;Pennsylvania Cancer Registry;https://www.health.pa.gov/topics/Reporting-Registries/Cancer-Registry/Pages/Cancer%20Registry.aspx;Harrisburg;;America North;USA;USA
Rhode Island;V;331;Rhode Island Cancer Registry;http://www.health.ri.gov/data/cancer/;Providence;Rhode Island Department of Health;America North;USA;USA
Tennessee;V;332;Tennessee Cancer Registry;https://www.tn.gov/health/health-program-areas/tcr.html;Nashville;Department of Health;America North;USA;USA
Texas;V;333;Texas Cancer Registry;http://www.dshs.texas.gov/tcr/;Austin;Cancer Epidemiology and Surveillance Branch MC 1928;America North;USA;USA
Utah;V;334;Utah Cancer Registry;http://uofuhealth.utah.edu/utah-cancer-registry;Salt Lake;;America North;USA;USA
Vermont;V;335;Vermont Cancer Registry;http://www.healthvermont.gov/health-statistics-vital-records/registries/cancer;Burlington;Vermont Department of Health;America North;USA;USA
Virginia;V;336;Virginia Cancer Registry;hhttp://www.vdh.virginia.gov/virginia-cancer-registry/;Richmond;Virginia Cancer Registry;America North;USA;USA
W Virginia;V;337;West Virginia Cancer Registry;www.cancerregistry.wv.gov;Charleston;Department of Health and Human Resources;America North;USA;USA
Washington;V;338;Washington State Cancer Registry;https://fortress.wa.gov/doh/wscr;Tumwater;Washington State Department of Health, Cancer Prevention and Control Unit;America North;USA;USA
Blue Mountain;C;339;Blue Mountain Oncology Program;http://bmop.us/;Walla Walla;NULL;America North;USA;USA
WW Seattle;V;340;Seattle-Puget Sound Registry;https://seer.cancer.gov/registries/sps.html;Seattle;Cancer Surveillance System;America North;USA;USA
Wisconsin;V;341;Wisconsin Cancer Reporting System;http://www.dhs.wisconsin.gov/wcrs/index.htm;Madison;Department of Health Services;America North;USA;USA
Wyoming;V;342;Wyoming Cancer Surveillance Program;https://health.wyo.gov/publichealth/chronic-disease-and-maternal-child-health-epidemiology-unit/cancer-surveillance/;82002;;America North;USA;USA
USA_NS;I;343;Central Brain Tumour Registry of the United States;http://www.cbtrus.org/;Hinsdale;NULL;America North;USA;USA
Armenia Dept of Genetics;N;344;Dept. of Genetics and Cytology;NULL;Yerevan ;Dept. of Genetics and Cytology;Asia;ARMENIA;Armenia
Azerbaijan;V;1242;Azerbaijan National Cancer Registry;www.mom.gov.az;Baku;National Oncology Center of Ministry of Health;Asia;AZERBAIJAN;Azerbaijan
Bahrain;V;345;Bahrain Cancer Registry;;Manama;Medical Review Office;Asia;BAHRAIN;Bahrain
Bangladesh;I;346;Bangladesh Cancer Epidemiology Research Program;NULL;Bogra;NULL;Asia;BANGLADESH;Bangladesh
Brunei;V;347;Brunei Darussalam Cancer Registry;;Bandar Seri Begawan;Public Health Epidemiology Division;Asia;BRUNEI;Brunei
Phnom Penh;N;348;Phnom Penh Population Based Cancer Registry;NULL;Phnom Penh;Prev. Med. Dept;Asia;CAMBODIA;Cambodia
NCCR;V;349;Chinese Cancer Registry & Surveillance Committee;;Beijing;National Office for Cancer Prevention and Control National Central Cancer Registry;Asia;CHINA;China
China, 6 registries;N;1364;BEI, DAL, GUA, HKG, SHA & ZHO for IICC-3;NULL;NULL;NULL;Asia;CHINA;China
Veterans Hospital;N;350;Veterans General Hospital Cancer Registry;NULL;Taipei;NULL;Asia;CHINA;China
Taiwan Science;N;351;Taiwan Research Center for Applied Sciences;http://ntu.edu.tw;Taipei;NULL;Asia;CHINA;China
Anshan;V;352;Anshan Cancer Registry;NULL;Anshan;NULL;Asia;CHINA;China
Baoding;V;1131;Baoding Cancer Registry;;Baoding;Baoding Cancer Registry;Asia;CHINA;China
Beijing;V;353;Beijing Cancer Registry;NULL;Beijing;Beijing Office for Cancer Prevention and Control;Asia;CHINA;China
Benxi;N;1132;Benxi Cancer Registry;NULL;NULL;NULL;Asia;CHINA;China
Cangwu;V;354;Tumor Registry of Cangwu;NULL;Cangwu;NULL;Asia;CHINA;China
Changle;U;355;Changle Cancer Registry;;Changle;;Asia;CHINA;China
Chongqing;V;356;Chongqing Municipal Center for Disease Control;NULL;Chongqing;NULL;Asia;CHINA;China
Chuzhou;V;357;Cancer Registry of Huaian District,Huaian;;Huaian- Huaian District;Office of Cancer Control and Prevention;Asia;CHINA;China
Cili;N;1133;Cili Cancer Registry;;;;Asia;CHINA;China
Cixi;N;1134;Cixi Cancer Registry;;Cixi;Non-communicabel chronic disease department;Asia;CHINA;China
Cixian;V;358;Cixian County Cancer Registry;NULL;Handan;Cixian County Cancer Institute;Asia;CHINA;China
Dafeng;V;359;Dafeng Center for Disease Control and Prevention;;Nanjing;Department of Non-communicable Disease Control;Asia;CHINA;China
Dalian;V;360;Dalian Cancer Registry;NULL;Dalian;NULL;Asia;CHINA;China
Dancheng;N;1135;Dancheng Cancer Registry;;Dancheng;Department of Chronic Disease Control and Prevention;Asia;CHINA;China
